Index Number,Volume,Title,Notes,,,,,,
00094,Vol. 3,"The Webber House, ca 1880",,,,,,,
00095,Vol. 3,"El Dorado Bar, ca 1964",,,,,,,
00096,Vol. 3,"San Leandro Band, ca 1910",,,,,,,
00097,Vol. 3,"Lincoln School, ca 1920",,,,,,,
00098,Vol. 3,"San Leandro Baseball Team, ca 1930",,,,,,,
00099,Vol. 3,"Club Iberico, Cherry Carnival, ca 1930",,,,,,,
00100,Vol. 3,"Mrs. Juana Martinez de Estudillo, ca 1850",,,,,,,
00101,Vol. 3,"Jose Joaquin Estudillo, ca 1840",,,,,,,
00102,Vol. 3,"Maria de Jesus Estudillo, ca 1850",,,,,,,
00103,Vol. 3,"William Heath Davis, 1850",,,,,,,
00104,Vol. 3,"Anita Davis, ca 1865",,,,,,,
00105,Vol. 3,"Estudillo Home, ca 1925",,,,,,,
00106,Vol. 3,"Mrs. John B. Ward & Son, ca 1865",,,,,,,
00107,Vol. 3,"Charles H. Cushing Family, ca 1877",,,,,,,
00108,Vol. 3,"John B. Ward and Son, ca 1863",,,,,,,
00109,Vol. 3,"Andrade Home on Dutton Ave, ca 1918",,,,,,,
00110,Vol. 3,"Harry Andrade, 1900",,,,,,,
00111,Vol. 3,"Mrs. M. J. Andrade, 1915",,,,,,,
00112,Vol. 3,"Mrs. M. J. Andrade, 1915",,,,,,,
00113,Vol. 3,"Andrade Home, 1897",,,,,,,
00114,Vol. 3,"Fourth of July Parade(?), 1897",,,,,,,
00115,Vol. 3,"Fourth of July Parade(?), 1892-1897",,,,,,,
00116,Vol. 3,"Mrs. M. J. (Louise Oakes) Andrade, 1900",,,,,,,
00117,Vol. 3,"Union School, 1897",,,,,,,
00118,Vol. 3,"Brass Band, S. L. First, 1885",,,,,,,
00119,Vol. 3,"Lincoln School Class, May, 1917",,,,,,,
00120,Vol. 3,"Roberts Market, 1933",,,,,,,
00121,Vol. 4,"First Cherry Festival, 1909",,,,,,,
00122,Vol. 4,"Masonic Hall, 1918",,,,,,,
00123,Vol. 4,"San Leandro Plaza, 1966 (November or December)",,,,,,,
00124,Vol. 4,"Col. Hastings' Presentation of Flagpole, 1897",,,,,,,
00125,Vol. 4,"Cherry Float for Independence Day, July 4, 1892",,,,,,,
00126,Vol. 4,"Cherry Festival Parade, ca 1920",,,,,,,
00127,Vol. 4,"Thomas Drug Store (?), ca 1920",,,,,,,
00129,Vol. 4,"Frank Cody, ca 1930",,,,,,,
00130,Vol. 4,"San Leandro Plaza, ca 1905",,,,,,,
00131,Vol. 4,"San Leandro Western Pacific Depot, ca 1930",,,,,,,
00132,Vol. 4,San Leandro Police Dept. ca 1940,,,,,,,
00133,Vol. 4,"Union School, 1900",,,,,,,
00134,Vol. 4,"Carnegie Library, 1900",,,,,,,
00135,Vol. 4,"U.P.E.C. Hall, 1900",,,,,,,
00136,Vol. 4,"Daniel Best Building, 1900",,,,,,,
00137,Vol. 4,"Masonic Temple, 1900",,,,,,,
00138,Vol. 4,"Norman Duck Club, ca 1920",,,,,,,
00139,Vol. 4,"San Leandro Brass Band, ca 1890",,,,,,,
